,BMM5_Benign
AGMAT,77
RP4-680D5.2,1
DDI2,162
RSC1A1,0
RP4-680D5.9,0
PLEKHM2,88
RP11-288I21.1,0
SLC25A34,5
RP11-169K16.4,0
TMEM82,0
FBLIM1,63
RP11-169K16.9,316
SPEN,292
ZBTB17,162
C1orf64,2
RP11-5P18.5,0
HSPB7,0
CLCNKA,0
CLCNKB,0
FAM131C,0
EPHA2,6
RP11-276H7.2,0
RP11-276H7.3,1
ARHGEF19-AS1,0
ARHGEF19,63
C1orf134,6
RSG1,14
FBXO42,197
SZRD1,361
SPATA21,10
NECAP2,706
RP4-798A10.2,11
RP4-798A10.7,33
RP4-798A10.4,0
U1,1
FAM231B,0
NBPF1,177
RP5-1182A14.5,0
CROCCP2,340
FAM231A,0
FAM231C,0
CROCC,37
RP11-108M9.1,0
RP11-108M9.2,0
U1,3
RP11-108M9.4,96
RP11-108M9.6,66
MFAP2,4
RP1-37C10.3,0
ATP13A2,62
SDHB,702
PADI2,18
RP11-380J14.1,1
PADI1,0
PADI3,0
PADI4,209
AC004824.2,1
RP1-20B21.4,3
RCC2,256
ARHGEF10L,20
RP11-473A10.2,0
ACTL8,0
RP11-174G17.2,0
IGSF21,0
RP11-174G17,0
RP11-422P22.1,0
KLHDC7A,2
PAX7,0
TAS1R2,0
RP13-279N23.2,0
ALDH4A1,25
IFFO2,29
UBR4,296
RP1-43E13.2,35
EMC1,65
MRTO4,300
AKR7A3,1
AKR7A2,84
PQLC2,54
CAPZB,2560
RP5-1056L3.1,0
MINOS1-NBL1,0
MINOS1,1707
NBL1,12
HTR6,1
TMCO4,79
RNF186,7
RP11-91K11.2,1
OTUD3,47
PLA2G2E,0
PLA2G2A,0
PLA2G5,0
PLA2G2D,14
PLA2G2F,0
RP3-340N1.2,0
PLA2G2C,4
UBXN10-AS1,18
UBXN10,3
RP3-340N1.6,0
VWA5B1,0
RP4-745E8.2,1
LINC01141,0
RP4-749H3.2,0
CAMK2N1,10
MUL1,117
FAM43B,0
CDA,245
PINK1,34
PINK1-AS,20
DDOST,874
KIF17,24
SH2D5,0
RP5-930J4.2,0
HP1BP3,1600
RP5-930J4.4,8
EIF4G3,194
ECE1,101
RP3-329E20.2,0
RP5-1071N3.1,4
RP11-293F5.1,0
NBPF3,49
ALPL,3
RP11-63N8.3,0
RAP1GAP,0
USP48,505
LDLRAD2,6
HSPG2,19
CELA3B,0
CELA3A,0
RP1-224A6.3,6
LINC00339,162
CDC42,3295
RP1-224A6.9,4
WNT4,0
ZBTB40,113
EPHA8,0
C1QA,20
C1QC,6
C1QB,8
EPHB2,6
RP11-69E9.1,0
RP1-74M1.3,0
LACTBL1,0
C1orf234,0
KDM1A,135
RP1-184J9.2,1
LUZP1,241
HTR1D,0
RP5-1057J7.6,100
HNRNPR,2010
ZNF436,12
C1orf213,45
RP5-1057J7.7,1
TCEA3,101
ASAP3,3
E2F2,194
RP1-150O5.3,0
ID3,1066
MDS2,121
RPL11,74961
TCEB3,235
RP5-886K2.3,80
PITHD1,481
LYPLA2,399
GALE,67
HMGCL,288
FUCA1,152
CNR2,89
RP11-4M23.3,0
PNRC2,46
SRSF10,688
RP11-293P20.2,0
MYOM3,10
RP11-293P20.4,2
IL22RA1,0
IFNLR1,19
RP11-10N16.2,0
RP11-10N16.3,0
GRHL3,0
STPG1,48
NIPAL3,296
RCAN3,296
RP4-594I10.3,277
NCMAP,111
SRRM1,2782
CLIC4,90
RUNX3,353
RP11-84D1.1,0
RP11-84D1.2,0
RP4-799D16.1,3
RP4-706G24.1,0
SYF2,1874
C1orf63,3387
RP3-465N24.6,6
RHD,19
TMEM50A,1387
RHCE,29
TMEM57,253
LDLRAP1,543
RP11-70P17.1,17
MAN1C1,31
RP1-187B23.1,71
SEPN1,60
RP1-317E23.6,0
RP1-317E23.3,7
MTFR1L,248
AL020996.1,10
RP1-317E23.7,0
AUNIP,26
RP1-125I3.2,16
PAQR7,14
STMN1,8741
PAFAH2,116
EXTL1,0
SLC30A2,8
TRIM63,0
PDIK1L,74
FAM110D,0
ZNF593,430
RP11-96L14.7,1
CNKSR1,20
CATSPER4,0
CEP85,63
SH3BGRL3,11178
UBXN11,333
CD52,14404
AIM1L,8
ZNF683,51
LIN28A,5
DHDDS,137
RP3-476K8.3,1
HMGN2,9861
RPS6KA1,497
RP5-968P14.2,4
ARID1A,587
PIGV,62
ZDHHC18,105
SFN,0
RP1-50O24.6,0
GPN2,213
GPATCH3,99
NUDC,1196
NR0B2,0
C1orf172,22
TRNP1,0
FAM46B,0
SLC9A1,43
RP11-40H20.4,0
WDTC1,160
TMEM222,274
