Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
FNDC1	9.841833472594205	8.908825306052426	1.869353876759313	8.16867548375554e-8	1.692722521003615e-6	TRUE
CDH5	38.35718922322268	8.868197190904347	1.3290909162313844	5.343957593791249e-12	3.200664574188233e-10	TRUE
ELTD1	62.33138985277526	8.832308190659308	1.0999079473564972	1.68826292725946e-16	2.8610167327766713e-14	TRUE
RERGL	7.188630782770077	8.794438647301243	1.506315279658133	1.4081734019059208e-15	1.9607693464372824e-13	TRUE
RP5-977B1.11	2.0392181046567037	8.783969683926276	2.953967916326287	6.987873729479986e-6	8.177832312642505e-5	TRUE
EPHA3	14.22164660474119	8.759998376314961	1.7837388540063341	4.149052680936928e-7	7.097217578870279e-6	TRUE
THBS2	53.57258855744218	8.746445619455839	1.473862945295416	2.3176325596382886e-9	7.237966483750375e-8	TRUE
COL12A1	51.522409693405535	8.676737450400084	1.3019608151392656	1.466903879810153e-11	7.840583304775002e-10	TRUE
SNCAIP	2.110928113125428	8.674489971416149	3.0977612929357297	1.9093294008731544e-4	0.0013941165675513704	TRUE
FAP	28.59768937268767	8.671916322772802	1.1501393839544904	3.5351855898026035e-15	4.4931797778299257e-013	TRUE
COL1A1	1665.7886128571713	8.648922848613138	0.68888758181724985	9.768065752918513e-43	2.135396854245516e-38	TRUE
DCN	663.8168299657093	8.636845462078156	0.9726162695608166	4.122341039334259e-19	1.1407404741884333e-16	TRUE
EDNRA	19.86903413790668	8.624656456377199	1.5013033232999913	5.477719886938009e-9	1.5694421290740735e-7	TRUE
NGF	9.54230707838163	8.608548861887998	2.145735901121093	2.0572121084724308e-5	2.0791823348735927e-4	TRUE
MMP13	20.741119985651725	8.502415174696761	2.0163925855923783	1.5726925352500972e-5	1.6545058475987668e-4	TRUE
RASL12	6.166603456685692	8.458880963944662	1.6829886798432194	2.6948786921548202e-9	8.285899168663365e-8	TRUE
KDR	29.727705577425443	8.261537048705337	1.2153905222975343	1.3053023984977967e-12	8.889475306405088e-11	TRUE
ADAMTS12	1.30953118808799	8.245950645385797	2.222910895532861	0.01335689765635426	0.04673417728322031	TRUE
DLL4	31.804461988632752	8.20511978732074	1.0960751773627695	1.9402161547604263e-14	2.058983755301829e-12	TRUE
ZIC1	13.108697830134853	8.138018370009021	1.2751766346681308	7.651686263348168e-13	5.502418204047839e-11	TRUE
SPARCL1	540.6229601002119	8.095520089971679	1.0156909553340572	8.166745017238631e-16	1.2228302248072172e-13	TRUE
MGP	1009.8347025443204	8.064228703545306	0.8203532326688524	4.403589873283387e-23	2.6740799505513368e-20	TRUE
ABCC9	22.59330109187514	8.058934090851023	1.273683753638718	2.995775064631961e-11	1.4837800572147918e-9	TRUE
RAMP3	59.75884247971201	7.976656450040146	1.0522253875043603	1.4793984849370716e-14	1.6416817400613871e-12	TRUE
SULF1	39.875266087455735	7.959241556450486	0.8701222514885271	1.5296515226074535e-20	5.765467575124404e-18	TRUE
COL2A1	2.272860326548446	7.817686902762027	0.996794961412838	0.06420165793288912	0.15886644680064646	FALSE
FOXS1	9.594482475224902	7.798387591582986	1.3186168292627218	1.3722628165885235e-10	5.725007143786586e-9	TRUE
PTN	32.940605934724424	7.794089195617083	1.1967015701106336	1.6450373214622486e-11	8.707545008350173e-10	TRUE
GJA5	1.8943576193007587	7.775209534915954	2.200138927714595	0.004608904098325989	0.01978308511555163	TRUE
THY1	113.63983980330693	7.733442430126412	0.9343120715254073	1.7229159455824785e-12	1.1310710356269837e-10	TRUE
FBLN1	66.67996073881038	7.7223227690787954	0.910445201148588	8.864894774326093e-18	2.0399522595951865e-15	TRUE
MMRN2	16.803116273191456	7.709297408593727	1.0229817429082837	4.378228271703444e-16	6.935684655631086e-14	TRUE
COL6A1	228.66626097455548	7.66157114776356	0.6718718701791144	2.2414446079772526e-30	5.444468952776746e-27	TRUE
TBX2	8.106162899864536	7.635467059338033	1.1506907589563826	3.614395868356361e-14	3.559203066582811e-12	TRUE
FCN3	2.437131526541409	7.625408189680977	1.0911811633438453	9.172601495627468e-7	1.4141201783914816e-5	TRUE
LAMA4	111.33447220602181	7.557453330469906	1.0330809261546676	1.0918456799292416e-13	9.471761273386171e-12	TRUE
DLX5	48.51623310468977	7.5432055562948825	1.1835604735595526	4.067435288706206e-11	1.9288113415706367e-9	TRUE
SERPINE1	67.19356327965919	7.50007870952627	0.8642903557075612	8.611882459837576e-19	2.2959068592013325e-16	TRUE
RGS5	335.49119811345787	7.483169584816246	0.629471175297096	8.401318374744587e-33	3.673224419805828e-29	TRUE
SERTAD4-AS1	10.544912570360793	7.480066774468774	1.1734893967865045	2.034584449844761e-12	1.3198234616633921e-10	TRUE
APLNR	5.554506929670508	7.477298718559782	0.8529109620404062	1.61161658463901e-8	4.044954093776509e-7	TRUE
CDH11	53.81717398658125	7.476850332096111	0.9967153168386983	2.144931446114539e-14	2.232873635405235e-12	TRUE
INHBB	3.112962266790364	7.454976941788459	0.9908262830669357	2.326563902366386e-6	3.178941489483334e-5	TRUE
PLN	29.31830085500199	7.429859777454946	0.8480390648219968	3.9886873796915807e-19	1.117906343685098e-16	TRUE
RP11-38H17.1	5.539553974240547	7.413006307172491	1.5830698159594014	6.105315230448487e-7	9.962359293140098e-6	TRUE
ADAMTS9	9.4171017893296	7.397860622726389	0.6966534486688933	3.799726013627461e-12	2.386948574250285e-10	TRUE
SPARC	1242.595507882855	7.392446854158712	0.6426289133171259	5.569192433225451e-31	1.5218514472842696e-27	TRUE
COL5A2	106.033125580827	7.372727407392245	0.8283351814777571	2.294687839485173e-19	6.778942007970995e-17	TRUE
GABRD	1.3738406823181182	7.364989758030661	1.9016951319014375	0.0079621812292996	0.030883826091859218	TRUE
CYR61	77.12636349595573	7.342391247797362	0.9615271653105193	7.663522442611634e-15	9.055798060428807e-13	TRUE
RP11-332H18.4	7.151358980338401	7.313715730684314	1.146286601139743	1.0101585680225584e-13	8.79803842850245e-12	TRUE
KCNE4	40.420463088999824	7.294392344857294	0.8372480574548761	3.841712969568804e-19	1.0906972367239433e-16	TRUE
COX4I2	22.07279843030038	7.282329419744355	1.2698077536084682	4.146862442538381e-9	1.225061619680156e-7	TRUE
